# Last update: Tue, 31 Dec 2019 23:00:08 +0100
#
# IP	number of (black)lists
#
179.52.21.217	8
89.234.157.254	8
164.52.24.164	8
171.25.193.77	8
171.25.193.78	8
69.158.207.141	8
58.210.180.162	8
104.244.79.181	8
171.25.193.20	8
62.102.148.68	8
195.206.105.217	8
1.232.77.64	7
95.145.164.23	7
185.107.47.171	7
72.68.125.94	7
18.27.197.252	7
46.165.245.154	7
88.191.138.184	7
185.165.168.229	7
192.42.116.13	7
185.220.102.8	7
45.95.168.105	7
185.220.101.46	7
167.88.7.134	7
171.25.193.235	7
171.25.193.25	7
62.102.148.69	7
144.217.255.89	7
80.67.172.162	7
103.125.191.106	7
103.44.144.53	7
178.165.72.177	7
5.199.130.188	7
85.195.52.41	7
41.193.122.77	7
159.89.231.172	7
203.113.25.6	7
158.174.122.199	7
27.78.12.22	7
35.0.127.52	7
128.31.0.13	6
162.247.74.201	6
162.247.74.206	6
162.247.74.204	6
222.186.175.147	6
51.15.80.14	6
54.36.108.162	6
185.117.215.9	6
91.250.242.12	6
195.176.3.20	6
185.107.47.215	6
35.231.215.178	6
162.247.74.74	6
109.201.133.100	6
23.129.64.234	6
185.220.101.6	6
185.220.101.5	6
86.211.94.186	6
130.185.250.76	6
209.95.51.11	6
51.15.43.205	6
209.141.58.114	6
169.197.97.34	6
219.153.31.186	6
221.181.24.246	6
185.220.101.48	6
185.220.101.44	6
185.153.199.155	6
130.149.80.199	6
185.220.101.67	6
104.244.72.251	6
222.186.173.154	6
162.247.74.213	6
93.186.170.7	6
185.107.70.202	6
222.186.175.216	6
217.58.211.78	6
198.96.155.3	6
94.230.208.147	6
185.220.101.27	6
185.220.101.24	6
185.220.101.21	6
192.42.116.16	6
192.42.116.19	6
221.150.15.200	6
178.217.159.175	6
101.227.243.56	6
157.157.87.22	6
202.100.182.250	6
50.28.56.159	6
85.248.227.164	6
163.172.138.68	6
23.129.64.182	6
80.60.229.119	6
104.244.79.146	6
144.217.85.215	6
162.247.74.27	6
185.216.32.130	6
37.46.121.192	6
162.247.74.216	6
162.247.74.217	6
141.98.81.37	6
222.186.175.154	6
222.186.175.151	6
171.25.193.234	6
192.241.165.27	6
178.238.227.173	6
176.10.99.200	6
91.173.121.137	6
162.247.74.7	6
78.148.128.25	6
58.142.8.85	6
80.82.64.127	6
64.113.32.29	6
185.100.86.182	6
51.68.139.151	6
222.186.173.183	6
158.101.11.163	6
23.129.64.206	6
104.244.72.98	6
83.97.20.46	6
185.226.94.111	6
199.249.230.73	6
212.21.66.6	6
123.51.152.54	6
82.64.204.164	6
104.244.72.221	6
219.84.236.108	6
104.244.76.13	6
185.129.62.62	6
46.165.230.5	6
66.70.188.152	6
49.88.112.59	6
222.186.180.8	6
192.42.116.24	6
60.174.197.236	6
47.154.228.129	6
162.247.73.192	6
62.210.105.116	6
45.141.86.128	6
185.153.199.210	6
82.221.131.71	6
118.24.135.240	6
85.93.218.204	6
222.186.175.163	6
77.133.126.3	5
80.82.77.33	5
137.74.169.241	5
209.97.149.176	5
162.247.74.202	5
212.51.156.129	5
222.186.175.140	5
222.186.175.148	5
192.160.102.170	5
103.255.216.166	5
222.186.169.194	5
222.186.169.192	5
212.237.4.147	5
141.98.80.173	5
209.17.96.186	5
164.132.51.91	5
109.70.100.20	5
222.186.180.17	5
27.78.14.83	5
159.203.197.169	5
37.49.230.74	5
81.246.218.220	5
51.254.201.90	5
204.8.156.142	5
104.206.128.6	5
141.98.81.117	5
194.219.29.87	5
107.189.11.11	5
185.4.132.183	5
178.73.215.171	5
92.222.127.232	5
107.189.10.174	5
94.100.6.72	5
94.32.66.48	5
195.176.3.23	5
195.176.3.24	5
198.98.56.149	5
185.195.237.24	5
198.98.53.133	5
195.154.179.14	5
95.110.201.243	5
159.203.197.23	5
159.203.201.194	5
80.211.29.172	5
222.186.175.181	5
222.186.175.182	5
62.109.10.150	5
167.99.203.202	5
198.98.58.135	5
104.244.78.233	5
222.186.180.147	5
104.200.134.196	5
209.17.96.106	5
178.128.255.8	5
223.71.213.216	5
193.169.145.202	5
77.54.236.229	5
115.238.62.154	5
209.17.96.58	5
104.140.188.18	5
23.129.64.232	5
193.169.255.102	5
185.220.101.35	5
222.186.180.223	5
91.244.181.85	5
199.249.230.67	5
199.249.230.64	5
194.105.205.42	5
185.38.175.71	5
185.220.101.7	5
185.220.101.3	5
185.220.101.1	5
5.252.176.20	5
89.31.57.5	5
104.206.128.34	5
104.206.128.38	5
209.17.96.34	5
80.211.173.73	5
23.129.64.158	5
23.129.64.156	5
23.129.64.154	5
23.129.64.155	5
23.129.64.153	5
179.43.134.156	5
179.43.134.154	5
87.118.116.90	5
222.186.173.215	5
92.118.160.57	5
